enkelvoud			singular
broer				brother, bro
kerel				guy, dude
collega				colleague
onderhoud			maintenance
verliefd				in love
verloofd			engaged
verloofde			fiancé
getrouwd			married 
huwelijk			marriage
bruiloft				wedding
vader, moeder			father, mother
grootvader, grootmoeder	grandfather, grandmother
ouders				parents
grootouders			grandparents
kleinzoon, kleindochter		grandson, granddaughter
kleinkind, kleinkinderen	grandchild, grandchildren
neef				cousin (zoon oom), nephew (zoon broer)
nicht				cousin (dochter oom), niece (dochter broer)
mannelijk en vrouwelijk	male and female
stamboom			family tree
stiefvader, stiefmoeder		stepfather, stepmother
halfzus, halfbroer		half sister, half brother
schoonzus			sister-in-law
zwager				brother-in-law
schoonvader, schoonmoeder	father-in-law, mother-in-law 
schoonzoon, schoondochter	son-in-law, daughter-in-law
winkel				shop (UK), store (VS)
winkelcentrum			shopping mall
verkoop, uitverkoop		sale
te koop				for sale	
supermarkt			supermarket
kleren, kleding			clothes, clothing
handschoen			glove
kledingzaak			clothing shop, clothing store
vrouwenkleding		women’s clothing
winkelwagen			shopping cart
balie				counter
kassa				checkout counter
aanrecht			countertop
korting				discount
procent				percent
paskamer			fitting room
passende muziek		fitting music	
warenhuis			department store
magazijn, pakhuis		warehouse
bon				receipt
contant				cash
pinpas, creditcard		debit card, credit card
letterlijk			literal, literally
figuurlijk			figurative, figuratively
strak, schaars			tight
netjes				tidy
waarschuwing			warning
noodgeval			emergency
verlegen			shy
jaloers				jealous
koppig				stubborn
schattig			cute, adorable
raar				weird (verbonden met lot dat beïnvloedbaar is), strange
dom, stom			stupid
dwaas				fool, foolish, silly (verdient medelijden)
gek				crazy
boos				angry
geestelijk gezond		sane
geestelijke gezondheid		sanity
gestoord, krankzinnig		insane, mad, lunatic
krankzinnigheid		insanity, madness, lunacy
slim				clever(vindingrijkheid), smart(intelligentie), intelligent
verstandig			sensible (waarneembaar met zintuigen), wise
ingewikkeld			complicated
stout				naughty
zwembroek			swimming trunks, swimsuit (korter model)
hoofdkantoor			headquarters (gebouw), main office (kamer)
achtertuin			backyard
zitplaats			seat
brand, vuur			fire
brandweer			fire department
brandweerman			fireman, firefighter (kan ook vrouw zijn)
brandweerauto			fire truck
brandblusser			fire extinguisher
huurauto			rental car
luisterboek			audiobook
vogelhuis			birdhouse
vuurtoren			lighthouse
meer, meren			lake, lakes
steen, rots			stone, rock
kanaal				canal (water) 
kanaal, zender			chanal
huisje				cottage
pijl				arrow
jammer				a pity
zonde				sin
inderdaad			indeed
tot ziens			see you, goodbye
groeten, groetjes		regards, greetings
met vriendelijke groeten	kind regards
vriendelijk			friendly, kind
minachting			disregard
van harte			sincere, sincerely
van harte gefeliciteerd		sincere congratulations
hoogachtend			yours sincerely (heel zakelijk en formeel)
hoera				hurray
eigenlijk			actually
precies				exactly
realiteit, werkelijkheid		reality
relatief				relative
ziek				ill, sick
ziekte				disease, illness, sickness
ramp				disaster
woestijn			desert
toetje				dessert
bestemming			destiny (persoon of ding bestemming), destination
afstand				distance
schade				damage
op afstand, afgelegen		remote
afstandsbediening		remote control
oppervlakte			surface
griep				flu
koorts				fever
gezondheid			health
gezond, gezonde		healthy
de gezondheidszorg		healthcare
verpleegkundige		nurse
allergisch			allergic
medicijn			medicine
geneesmiddel			medication, drug	
zalf				ointment
conditie, staat, toestand	condition
voorwaarde			condition
in goede staat			in good condition
welke voorwaarde		which condition
rolstoel				wheelchair
hulp, eerste hulp		aid, first aid
pleister				band aid (US), plaster (UK)
verband			bandage
salade				salad
frisdrank			soda, soft drink
sap				juice
maaltijd			meal
eet smakelijk			enioy your meal
boterham			sandwich
rijst				rice
kaas				cheese
aardbei				strawberry
pindakaas			peanut butter
taart				pie, cake
appeltaart			apple pie
snoep				candy
koekje				cookie
gebak				pastry
pannenkoek			pancake
slagroom			whipped cream
citroen				lemon
limoen				lime	
peer				pear
druif, druiven			grape, grapes
kers, kersen			cherry, cherries
bes, bessen			berry, berries
braam				blackberry
framboos			raspberry
noot 				nut
rijp				ripe
ui				onion
aardappel			potato
champignon			mushroom
bloemkool			cauliflower
paprika				bell pepper
worst				sausage
spek				bacon
vlees				meat
rundvlees			beef
biefstuk			steak
knoflook			garlic
gehaktbal			meatball
gehaktbrood			meatloaf
gehakt				ground meat, minced meat
vlucht				flight
aankomst			arrival
vertrek				departure
bagage				luggage
vliegtuig			airplane
vliegveld			airport
vakantie			holiday (UK), vacation (US)
schip				ship
zeilboot				sailboat
veerboot			ferry
ambassade			embassy
scheerapparaat			shaver
scheermes			razor, razor blade 
bleek				pale
stapel				pile
plafond				ceiling
dienblad			tray
sterfelijk, onsterfelijk		mortal, immortal
eeuwig				eternal
voor eeuwig			eternally
eeuwigheid			eternity
bad, badkuip			bath, bathtub
badkamer			bathroom
wc				toilet, bathroom, lavatory, restroom				
bezet				occupied
bezetting			occupation
zwembad			pool, swimming pool
douche				shower
kraan				faucet
hijskraan			crane
handdoek			towel
gootsteen			sink
borstel				brush
zeep				soap
lippenstift			lipstick
zakdoek			tissue (papier), handkerchief (stof)
emmer				bucket
natuur				nature
grond				ground, soil
regenwoud			rainforest
grot				cave
gat				hole
kloof				gorge
fakkel				torch
goor				gross 
overstroming			flood
vulkaan				volcano
storm				storm
orkaan				hurricane
gletsjer				glacier
heet				hot
hitte				heat
koud, kou			cold
leeg				empty
vol				full
brandstof			fuel
milieu				environment
ijs				ice, ice cream
elektriciteit			electricity
tram				tram
rijbewijs			driver’s license
vrachtwagen			truck (US), lorry (UK)
automobilist, bestuurder	(car) driver, motorist
bestuurdersstoel		driver’s seat
bijrijdersstoel			passenger seat
achterbank			back seat
fietsen				to cycle, to bike
fiets				bicycle, bike
motorfiets			motorcycle
motor				engine
voertuig			vehicle
tuig				rig
fietser				cyclist, bicyclist
motorrijder			biker
stoep				sidewalk
voetganger			pedestrian
oversteekplaats voetgangers	pedestrian crossing
fietspad			bike path
wandelaar			walker (lage frequentie) , hiker (fanatieker)
lifter				hitchhiker
lantaarnpaal			lamppost
openbaar vervoer		public transportation
verkeer				traffic
stoplicht			traffic light
verkeersbord			traffic sign
file				traffic jam
informatie			information
verkeersinformatie		traffic report
zebrapad			crosswalk
kruispunt			intersection, crossing (weg doorkruist met zebrapad of iets anders)
voorrang			right of way
snelweg			highway
weg				road
wegversperring			roadblock
platform, perron		platform
haast, spoed			hurry, rush
tankstation			gas station
spits, spitsuur			rush hour
richtingaanwijzer		turn signal
post				mail
brievenbus, postbus		mailbox
gesprek			conversation
bericht				message
sms				tekst message
lift				elevator
verdieping			floor
trap				stairs, stairway
balkon				balcony
gang				hallway
ingang				entrance (fysieke ingang), entry (fysieke ingang, toegang, komst)
kelder				basement, cellar (voor opslag wijn, enz)
verwarming			heater (één ding), heating (meerdere dingen, zoals CV)
radiator			radiator
zolder				attic
begane grond			ground floor (UK), first floor (US)
eerste verdieping		first floor (UK), second floor (US)
toneelstuk			play
pretpark			amusement park
oven				oven
fornuis				stove
hap				bite
chocolade			chocolate
kruid/kruiden			herb/herbs
specerij/specerijen		spice/spices
ingrediënt/ingrediënten	ingredient/ingredients
recept				recipe
saus				sauce
rauw				raw (niet gebakken), rare (licht gebakken)
zeldzaam			rare
zelden gebruikt			rarely used
gaar				done
kookboek			cookbook
glas				glass
kom				bowl
deksel				lid
bestek				cutlery (messen, vorken en lepels), utensils (keukengerei)
bord, mes, vork, lepel		plate, knife, fork, spoon
goud				gold
zilver				silver
brons				bronze
saffier				sapphire (blauw)
robijn				ruby (rood)
smaragd			emerald (groen)
amethist			amethyst (paars)
parel				pearl (wit/roze, zwart)
obsidiaan			obsidian (zwart) 
diamant			diamond (kleurloos of gele kleurtint)
metaal, ijzer, staal		metal, iron, steel
hout, beton, baksteen, klei	wood, concrete, brick, clay
wol, katoen, zijde, leer, stof	wool, cotton, silk, leather, fabric
lijm, plakband			glue, tape
karton				cardboard
snijplank			cutting board
schoolbord			blackboard
kast				closet
kastje				cabinet, cupboard
krijt, krijtje			chalk, piece of chalk 
materiaal			material
onderwijs, opleiding		education
klas				class
les				class, lesson
cijfer, klas, graad		grade
toets				test
oefening			practice, exercise
huiswerk			homework
opdracht			assignment
taak, opdracht			task
huiswerkopdracht		homework assignment
examen			exam
kennis				knowledge
schrift				notebook
speeltuin			playground
kleuterschool			kindergarten	
basisschool			primary school (UK), elementary school (US)
middelbare school		secondary school
uitleg				explanation
presentatie			presentation
voorbereiding			preparation
nat				wet
wolk				cloud
bewolkt				cloudy
vochtig				humid
benauwd			stuffy
zonnig				sunny
sneeuw				snow
hagel				hail
regenbui			rain shower
regenboog			rainbow
temperatuur			temperature
graden				degrees
woordenboek			dictionary
vertaling			translation
alinea				paragraph
pagina				page
hoofdstuk			chapter
stekker				plug
stopcontact			power outlet, socket (ook waar je een lamp indraait)
luidspreker			speaker
draadloos			wireless
toetsenbord			keyboard
laptop, computer		laptop, computer
kabel				cable
bureau				desk
handleiding (is een boekje)	manual
gebruiksaanwijzing		instructions
schroef				screw
ervaring			experience
experiment			experiment
onderdeel			part, component (zelfstandig deel van groter ding)
opponent, tegenstander	opponent
regel				rule
liniaal				ruler
lade				drawer
tekenaar			drawer
tekening			drawing
schilder				painter
schilderij			painting
verf				paint
penseel, kwast			paintbrush
potlood				pencil
doek				canvas
tentoonstelling			exhibition
ticket, kaartje			ticket
kaart				map
portret				portrait
schets				sketch
beeldhouwen			to sculp
beeldhouwwerk			sculpture
beeldhouwer			sculptor
standbeeld			statue
vrijheidsbeeld			statue of liberty
vrijheid				freedom (ontstaat uit menselijkheid), liberty (politiek)
vrede				peace
voor de hand liggend		obvious, obviously
vanzelfsprekend, duidelijk	obvious, obviously
kennelijk			obvious, obviously 
gebeurtenis, evenement	event
gelegenheid			occasion 
laatste, vorige			last
laatste, definitief, definitieve	final
eindelijk			finally
uiteindelijke/uiteindelijk	eventual (BN), eventually BW)
vooral, speciaal, met name	especially
driehoek			triangle
vierkant, plein			square
cirkel				circle
cyclus, kringloop		cycle
vorm				shape
in vorm				in shape
dun				thin
mager				skinny
dik				fat (bovenlichaam/ronde buik), thick (onderlichaam en trui e.d.)
spier, gespierd			muscle, muscular
boven				above
onder				under, beneath/ underneath (covered), below (same building, etc)
boven				upstairs
beneden			downstairs
omhoog, naar boven		up, upwards
omlaag, naar beneden		down, downwards
bodem, onderkant		bottom
bovenkant			top, upside
onderkant			bottom, underside (wat onder de bottom zit)
voorkant			front
achterkant			back
achterstevoren			backwards
terugspoelen			rewind
binnenstebuiten		inside out
ondersteboven			upside down
binnenkant, buitenkant		inside, outside
artikel				article
netwerk			network
uitzending			broadcast
omroep				broadcaster
aflevering			episode
levering			delivery
verzending			shipment
samenvatting			summary
achter elkaar			one after the other
wachtwoord			password
bestand			file
universum			universe
zonnestelsel			Solar System
Melkweg			Milky Way
sterrenstelsel			galaxy
atmosfeer			atmosphere
telescoop			telescope
microscoop			microscope
satelliet				satellite
asteroïde			asteroid
ruimte				space
ruimteschip			spaceship
aards				terrestrial
buitenaards			extraterrestrial
buitenaards wezen		alien
hemels				heavenly, celestial
stedelijk			urban
buitenwijk			suburbia
raket				rocket
intussen, in de tussentijd	meanwhile (vaak bijwoord), meantime (vaak Zelfst. Nw)
voorlopig			for now (nu nog wel), for the time being (zolang niets veranderd)
temporiseren			to temporize
tijdelijk				temporary (BNW), temporarily (BW)
zonsopkomst			sunrise
zonsondergang			sunset
noord, oost, zuid, west		north, east, south, west
ten westen, enz		west of, enz
naar het westen, enz		to the west, enz
noordelijke, oostelijke		northern, eastern (BN)
zuidelijke, westelijke		southern, western (BN)
noordelijk, oostelijk		northerly, easterly (bijwoord)
zuidelijk, westelijk		southerly, westerly (bijwoord)
halfrond			hemisphere
dialect				dialect
automatische			automatic (BN)
vanzelf, automatisch		automatically (bijwoord)
geheim				secret
stiekem			secretly
genoeg				enough
voldoende			sufficient, sufficiently
verfrissend			refreshing
het leven			life
de dood			the death
levende	 spin			living spider
zanger, zangeres		singer
publiek				public, audience
acteur, actrice			actor, actress
toeschouwer			spectator
podium, stadium, fase		stage
literatuur			literature
roman				novel
mode				fashion
foto				photo, picture
afbeelding			image
figuur				figure
grafiek				graph (diagram), graphics (ontwerptekening)
gedicht				poem
middenvouw			center fold
keuze				option, choice (Options are the things and choices are our decision)
mogelijk			possible, possibly
onmogelijk			impossible, impossibly
mogelijkheid			possibility
vermogen, kundigheid		ability
gedachtenbeheersing		thought control
gedachte/gedachten		thought (een vorm die in de geest (=mind) is gecreëerd)/thoughts
gedachten			mind (het vermogen tot rationeel denken)
verstand			mind (verm. tot rationeel denken), sense (hoe neem je iets waar)
gezond verstand		common sense
humor				humor
gevoel voor humor		sense of humor
logisch, zin(tuig), gevoel	sense
logisch				logical
motivatie			motivation
bewuste keuze			deliberate choice
bewust gekozen		deliberately chosen
bewust van het gevaar		aware of the danger
pas op 				beware of, watch out
gevaar				danger
gevaarlijk			dangerous
in gevaar brengen		jeopardize
kwetsbaar, onkwetsbaar	vulnerable, invulnerable
manier				manner, way
zelfbeheersing			self-control
argument			argument
mening				opinion
standpunt			point of view, position
positie				position
recensie			review
kritiek				criticism
kritisch				critical (ZN), critically (BW)
oordeel				judgment, verdict
genot, verrukking, vreugde	delight
opmerkelijk, merkwaardig	remarkable
onopmerkelijk/onmerkwaardig	unremarkable
hoopvol, hopelijk		hopeful, hopefully
hopeloos			hopeless (BN), hopelessly (BW)
sprakeloos			speechless
hulpeloos			helpless
ademloos			breathless
eindig				finite
eindeloos			endless, infinite
lezing, college			lecture
universiteit			university, college
college				college
programma			program
progressie, voortgang		progress
proces 				process, trial (rechtbank)
rechter, advocaat		judge, lawyer
scriptie, proefschrift		thesis
instituut			institute
doof, blind			deaf, blind
vergif				poison
giftig, giftige			poisonous
duizelig				dizzy
dodelijk			deadly, lethal
opgezwollen			swollen
apotheek			pharmacy
apotheker			pharmacist
huisarts			family doctor
zwanger			pregnant
tandarts			dentist
drogisterij			drugstore
verslaafd, verslaving		addicted, addiction
ongesteld, periode		period
depressief			depressed, blue
dronken			drunk
kaal				bald
blond				blonde
prachtig			gorgeous
magnifiek			magnificent
knap (uiterlijk)			handsome (man), good looking (man en vrouw)
rits				zipper
knop, knoop			button
bodem				bottom
zonnebril			sunglasses
koptelefoon			headphones
oortjes				earphones, earbuds
armband			bracelet
ketting				chain
ring				ring
litteken				scar
tatoeage			tattoo
moedervlek			birthmark
gebreide muts			knitted cap
sieraad, juweel			jewel, jewelry (meervoud)
theorie				theory
succesvol, met succes		successful, successfully
glad, vlot			smooth
gladjanus			smooth operator
concept				concept
conclusie			conclusion
armoede			poverty
welvaart			prosperity
welzijn				welfare
chaos				chaos
inwoner			citizen
burger				civilian
beschaving			civilization
verzekering			insurance
zorgverzekering		health insurance	
klant				customer
douane				customs 
douanier			customs officer
slaapliedje			lullaby
risico				risk
boekhouding			accounting
zakenreis			business trip
relatie				relation, relationship (koppels, familie dus kleiner dan relation)
romantisch			romantic
attractief, aantrekkelijk		attractive
liefdesverdriet			heartbreak
gebroken hart			broken heart
hartaanval			heart attack
angstig, ongerust		anxious
nieuwsgierig			curious
gezichtsuitdrukking		facial expression
tevreden			satisfied 
ontevreden			dissatisfied
tevredenheid			satisfaction
gezellig, knus			cozy
regering			government
parlement			parliament
premier				prime minister
staat				state
koninkrijk			kingdom
voorzitter			chairman
verplicht			mandatory, obligatory
snelheid			speed, velocity
massa				mass
lichtsnelheid			speed of light
chemicaliën			chemicals
energie				energy
klimaat				climate
magneet			magnet
actie, daad, handeling		action
reactie				reaction
ellende				misery
mysterie			mystery
ziekenhuis			hospital
gastvrijheid			hospitality
wijsheid			wisdom
symbool			symbol
winst				profit
verlies				loss
investering			investment
inkomen			income
failliet				bankrupt
campagne			campaign
strategie			strategy
tragedie			tragedy
factuur				invoice
aflossing			redemption
kandidaat			candidate
vijand				enemy
veilig				safe
veiligheid			safety, security
leger				army
wapen				weapon
priester, priesteres		priest, priestess
jood, joods			jew, jewish
christen			christian
engel				angel
begrafenis			funeral
heilig				holy, sacred
levensbeschouwing		outlook on life
kerk				church
magie				magic
kroon				crown
menigte			crowd
klaar voor de start, af		ready, set, go
ridder				knight
lid				member
keizer, keizerrijk		emperor, empire
oudejaarsavond		New Year’s Eve
Kerstmis, Pasen		Christmas, Easter
Hemelvaartsdag, Pinksteren	Ascension Day, Pentecost 
traditie				tradition
premiejager			bounty hunter
huurmoordenaar		sicario
sluipschutter			sniper
moe				tired
routebeschrijving		itinerary
klootzak			scumbag
waardigheid			dignity
isolement			isolation (wie/wat is geïsoleerd)
isolatie				insulation (waarvan geïsoleerd)
isolatie zoals piepschuim	insulation
geïsoleerd			isolated, insulated
lapje				patch
kaskraker			blockbuster
onderhandelaar		negotiator
aanklager			prosecutor
vrijwilliger			volunteer
egoïstisch			selfish
roerei				scrambled eggs
gekookt ei			boiled egg
gebakken ei			fried egg
haver, havermout		oat, oatmeal
voorrecht			prerogative
vooroordeel			prejudice, bias (minder extreem dan prejudice)
bevooroordeeld			prejudiced, biased
schuilplaats			shelter
water voorraad			water supply
energiecentrale			power plant
vrije tijd			leisure
superieur, meerderwaardig	superior
inferieur, minderwaardig	inferior
trouw				fidelity
vogelreservaat			bird sanctuary
oord,heiligdom,reservaat,park	sanctuary
sanctie				sanction
met betrekking tot sanctie	sanctionary
tovenaar			sorcerer, wizard
garantie			guarantee
drang				urge
puin, brokstukken		debris, rubble
vonk				spark
panisch				frantic
druk, bezig			busy
kofferbak			trunk
motorkap			hood (VS), bonnet (UK)
lieveheersbeestje		ladybug
applaus				applause
machtig, almachtig		mighty, almighty
voor- en nadelen		pros and cons
wreed				cruel, brutal
bel, bubbel			bubble
verjaardag			birthday
trouwdag, jubileum, enz.	anniversary
diepgang, onderdompeling	immersion
hertog				duke
agenda, kalender		agenda, calendar
schema,rooster,dienstregeling	schedule (terugkerende gebeurtenis), timetable (enkelvoudige)
barricade			barricade
versperring			barrage
thermostaat			thermostat
ontvangst, receptie		reception
nachtegaal			nightingale
vos				fox
sluw				foxy
buitenlands			foreign
buitenlander			foreigner
voorhamer			sledgehammer
verbazing			astonishment
betoverd, verblind zijn		bedazzled
oogverblindend			dazzling
autoriteit			authority
springlevend			alive and kicking
bushalte			bus stop
sleutel				key
rapport, verslag		report
communicatie			communication
weegschaal			scale
de marine			the navy
de luchtmacht			the Air Force
activiteit			activity
service				service
veruit, verreweg		by far
decennium			decade
doos				box
mand				basket
strand				beach
horizon				horizon
feest				party
spiegel				mirror
vallei				valley
buurman, buurvrouw		neighbor
buren				neighbors
buurt				neighborhood
gebied, ruimte			area
oceaan				ocean
tas				bag
hoek				corner
rand				edge
grens				border
limiet, grens			limit
film				film, movie
slecht humeur			bad mood
visueel, visuele			visual
symptoom, symptomen	symptom, symptoms
welkom				welcome
document			document
flits				flash
rookflits			flash of smoke
zaklamp			flashlight
idee				idea
in een moeilijke situatie	in dire straits
